uid,nickname,time,star,comment
-48185223611775839,z***0,2021-06-25 18:25:57,5,超棒的
-90366828201990438,嘎***喵,2021-06-25 11:10:22,5,性价比很高，很精致。
732803898209758062,****d,2021-06-24 19:13:22,5,已经收到了，商品很好呢还有两个小赠品。谢谢店主(*￣3￣)╭??小花花砸你
-41878351032504722,z***5,2021-06-23 11:47:33,5,第一次在网上买手办，孩子很是喜欢，孩子说很漂亮，想买的赶紧入手，非常不错，建议购买
349884566292848825,****R,2021-06-19 19:50:04,5,准备送朋友的，好到我都不想送了，乖乖！太好看了！！！赞美店家！！！瑕疵可以说几乎没有！身为九十多的国产版，这个品质真的稀有！！！我现在的心情只能用中了ssr一样来形容我的激动！！！买手办看准这家朋友们！！！虽然刚到的蛋糕款不太满意，换了之后档次直接升华！这是我在店家入手的第三个手办了，除了浴衣雷姆真的没法救之外（友情提示：不要入手浴衣雷姆，这是我对这家店唯一不满的手办），还有个日版现货的吊带雷姆也是好的不得了！！！天！店家我爱你！！！这家店服务态度也超级好！！！
426680400925383077,****a,2021-06-08 19:09:07,4,手办不错，海报好像忘放了
349884566292848825,****R,2021-06-07 18:20:03,4,对这个真的是五味杂陈之前抱着侥幸的态度觉得国产应该会有好的给我撞上，但是说真的，对手办要求高的真的不能买国产货，这个瑕疵是真的让人难受，脚上黑点不仅多，而且卡上底盘也是困难得很；费了九牛二虎之力才把棉花糖卡上，期间生怕把雷姆弄断；这个嘴巴还有微微掉色，头发也是一言难尽，合起来跟宣传的图片相符度真的低。另外就是立起来之后这歪得真的让人怕雷姆掉下来但是为什么我还是要给四星？就是因为一分钱一份货，对于这个价的国产货来说已经相当不错了，远看的话还是将就，我真的给折腾累了，懒得再退了要买的先看看我的评论吧，要求高的真的不能买这个
-41803466565918180,****H,2021-06-06 13:59:51,5,很好
864377994210839027,****i,2021-06-04 17:53:12,5,不错
764952556737872661,是***呀,2021-05-24 19:45:09,4,这个太脆了做工有微微瑕疵，不过还可以
-78780816641656884,****2,2021-05-23 16:27:52,5,蛮可爱的
594168964244985334,c***8,2021-05-16 09:38:27,5,还可以吧，挺大一个，有一点小瑕疵
-28837157856229189,葬***帝,2021-05-09 12:34:36,5,性价比很高，不错
-67136801824763183,****t,2021-04-24 13:27:45,5,很不错，很好看，值得每个喜欢蕾姆的人拥有
-18573813944727085,u***m,2021-04-17 22:14:58,5,整体不错 价廉物美
-28999526514440681,****k,2021-04-17 16:43:29,5,东西其实吧还可以吧 但是有瑕疵
863694984288086859,****m,2021-04-04 22:06:41,5,不错
530116196252707366,****E,2021-04-03 09:53:02,5,特别喜欢，爱了，爱了
545755298313279756,潘***仔,2021-04-02 17:13:34,5,超级喜欢?，而且卖家也很友善，雷姆的裙子在太阳下会变成粉丝，更加可爱呦，爱死啦&hellip;&hellip;下次再来
-51437212648571173,****h,2021-04-02 09:01:27,5,超级LSP内行手办，表弟很喜欢。就是比~价格贵
-28999526514440681,****k,2021-04-01 21:59:56,5,中奖了。包裹压的稀烂
430320586869874956,i***9,2021-03-21 12:22:44,5,好好玩，相信你们都会喜欢的。
-67985381105981407,****b,2021-03-18 19:20:05,5,还是很不错的，就是这个底座有点鸡肋。推荐购买
837647840481266809,清***明,2021-03-17 13:11:42,5,此用户未填写评价内容
-26406223306150717,****猫,2021-03-16 22:24:59,5,收到货物真心有点不舒服，凡是裙摆袖摆白色的地方，全是粉色的。我说这染色的能不能够上点心啊？那染色的时候你是不是在打瞌睡啊？没办法自己调整了一下，把粉色全涂成白的了，然后就变成现在这个样子。看官自己看吧。心塞啊！
610116063660829183,藕***l,2021-03-13 14:07:09,5,裙子边怎么是粉的？
426680400925383077,****a,2021-03-09 18:16:35,5,她那个脚那里有一点点脱落
449381862692065426,****z,2021-03-07 15:20:25,5,妙啊
-58137789678523079,s***1,2021-03-04 20:02:44,5,此用户未填写评价内容
355598761679343740,****3,2021-03-03 22:37:26,5,此用户未填写评价内容
460885387037765255,Y***i,2021-03-03 22:17:09,5,强迫症，感觉还行，就是关节和拼接处有点松，拿胶水粘一下
198114962659019748,****g,2021-03-03 12:22:54,4,有些小瑕疵，商家服务态度很好
637041876489416828,****c,2021-02-26 10:30:11,5,真爱是蓝色的，大爱雷姆。手办很精美，绝对物超所值。但还是有点小瑕疵，头部有轻微裂痕，裙边也有谜之粉色。整体来讲还是好的，海报也很好看，已经贴到墙上了。
301204463146946549,硫***t,2021-02-25 22:24:46,4,做工有点点不细致，不过总体很好啊
708672971034715041,q***g,2021-02-25 18:24:46,5,买一个可以当两个展示是我没想到的，做工还是可以的，有些细节比较粗糙，但价格摆在这里也不伤大雅
551346402590389024,****R,2021-02-23 18:54:53,5,非常棒，送给朋友的朋友特别喜欢，做工也挺精致的
270887109130766934,****货,2021-02-05 15:35:02,5,产品质量很好 孩子很喜欢 吃完还会回购
38984647146604750,2***4,2021-01-30 20:15:52,5,很喜欢
638600550777911995,****X,2021-01-27 12:51:58,5,儿子说瑕疵比较多，特意从大平台上买的，还是没能买到很好的
229489883841657587,小***3,2021-01-25 06:54:57,5,很好，很不错，小朋友很喜欢
444234809528289100,沉***馨,2021-01-22 16:25:53,5,超级好看啊性价比非常高好吧
-56877599151052231,蒋***0,2021-01-20 17:24:51,5,给我女儿买的，还行吧，就是质量一般，脚上鞋子那里有点安装不稳，女儿把@也搞坏了
774433488239293304,****u,2021-01-19 20:08:21,5,好看好看，502强行将它鞋给粘上
-35474882399762062,****y,2021-01-14 19:40:24,5,还不错，虽然东西一开始少发了但是补齐了。
-61296651460945810,****c,2021-01-11 12:27:43,4,都挺好的唯一就是底座大小不一
489598403640460866,****6,2021-01-03 14:42:30,5,总体还好，客服挺好，
