uid,nickname,time,star,comment
-18834397092054319,在***Z,2021-06-19 13:32:34,5,好用
-11912125140066009,h***7,2021-06-19 13:27:36,5,好好好
-38690938185526916,L***G,2021-06-19 13:19:53,5,灵敏度：一开始默认的灵敏性不高，要自己到app设置成高灵敏
操作难易：非常简单方便
做工质量：可以，防水挺好，运动后直接冲洗就可以
其他特色：电池续航不行，特别是打开了几个健康监测，一般4天要充一次电
-12915065937791380,7***1,2021-06-19 13:04:31,5,产品使用正在摸索,感觉做工质量需提高,总的来说,还是很不错的,有需要的可以买哦
-26287258922536566,****v,2021-06-19 12:58:22,5,材质结实，手感好，很得劲，物流也快，性价比很高，值得购买精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，实物很漂亮?，做工很精细?，特别满意?货收到后就拆开用了，质量很好，东西和官网买的没区别！
351724175211003810,****s,2021-06-19 12:55:26,5,手环很好，续航可以再顶久一点就好了。
742428728151782766,l***x,2021-06-19 12:54:40,5,手环很好，戴着舒服，做工精致，因为有健康检测，给妈妈买的
779544960395209450,****u,2021-06-19 12:50:01,5,好用、NFC使用物业不配合、很难发挥作用。
-82487531951622698,登***风,2021-06-19 12:39:15,5,小米手环，漂亮，功能强大，超级棒
257112965993845984,w***1,2021-06-19 12:33:49,5,618买的，价格便宜，送货特别快，质量不错，功能还在研究中
279154936791144988,第***凉,2021-06-19 12:33:37,5,里面产品基本上还是可以，跟我在实体店看到的一样
500477353813814116,****e,2021-06-19 12:28:28,5,要一直连着手机，，，
519639573558045989,****6,2021-06-19 12:27:55,5,送货很快，使用了一下很不错
158532485672450734,****g,2021-06-19 12:27:03,5,抬手显屏，画面清楚，还好看&hellip;&hellip;最重要是实用&hellip;&hellip;?
-30830188156956557,岐***子,2021-06-19 12:17:31,5,小米粉，功能全，价格实惠
-72623721888146665,n***x,2021-06-19 12:03:36,5,促销买的，价格很好，做工不错。
-16868651870716497,一***伴,2021-06-19 11:55:16,5,手环可以，一直用小米手环，从最早的二**始，一年一换
。每次都这样。小米这次更新有些多，每次会有进步，这次多了血糖检查。
688683581095772427,p***i,2021-06-19 11:50:26,5,将个烂就，还可以哈
-86061498877139931,P***8,2021-06-19 11:46:36,5,外观，质量都很不错，很满意。
-84192106066146063,y***f,2021-06-19 11:42:33,5,家里很多小米的东西，品质好，实惠
-21946394231551386,吼***喔,2021-06-19 11:41:20,5,挺好的，有NFC功能，可以当门禁卡
666605610872483862,F***9,2021-06-19 11:37:09,5,给老公买的生日礼物。收到后很高兴。就喜欢小米的东西
-76498741635485040,花***故,2021-06-19 11:35:30,5,不错，值得推荐，如果能主动打电话，~就好了
-11464557518640631,芃***锦,2021-06-19 11:30:17,5,4换6.续航有点不理想.屏幕更大更清晰了
133693020528867765,我***鑫,2021-06-19 11:26:25,5,小米手环性价比高，功能齐全，特别是NFC功能方便，使用体验不错。
-26287258922536566,****v,2021-06-19 11:23:45,5,用起来很方便，nfc功能很好用，使用效果好
442432581182968501,笨***M,2021-06-19 11:16:00,5,不错，很实用，支持小米，支持京东
627634277063215704,s***6,2021-06-19 10:59:13,5,希望这次带口不要自动化开，上次丢得太可惜了
-78620138198058054,d***9,2021-06-19 10:59:04,5,灵敏度：好
准确性：好
操作难易：容易
做工质量：好
外形外观：美
235662931541381217,三***外,2021-06-19 10:56:34,5,显示效果很不错，还可以更换自己的照片在上面，睡眠和心率监测准确度一般，运动GPS不准，经常漂移。不过这个价格也不要太奢求什么了。
-81125657548646203,****p,2021-06-19 10:50:35,5,商品还行，快递包装过于简陋，商品包装受损！
358121392633629018,召***飞,2021-06-19 10:28:21,5,开始购买的是小米手表运动版，因为个人原因佩戴不习惯。因此申请七天无理由退换，改成了小米手环6NFC版。出乎意料的喜欢，功能满足运动需要，机身精巧灵便，佩戴舒适无勒束感，屏幕显示清晰温和。
790232395017007704,低***混,2021-06-19 10:26:32,4,很不错，相较于智能手表，手环戴着就比较轻盈，不错
-13286608763283452,思***诚,2021-06-19 10:23:58,5,质量不错，挺方便的，看时间天气蛮好的，就是有时候链接手机要去操作，比较麻烦！
-79739356053693637,雪***9,2021-06-19 10:18:51,5,自己用的小米手环五代，帮同事买的，看起来还挺不错，屏幕比五代大了两圈屏占比很高，显示也感觉细腻了一些，还是挺好的，下次自己也换一个
-57713534173016236,k***8,2021-06-19 10:10:48,5,很好！推荐！
947535674827201531,长***蚪,2021-06-19 10:10:43,5,屏幕很大，佩服比前几款更舒适，快递超快，
448847729879766846,****a,2021-06-19 10:07:52,5,快递飞速啊，前天晚上买的，第二天就到了，京东物流牛皮，全面屏的手环还是蛮惊艳的，能看到消息的字数也多，舒服。
-89975372873541442,t***7,2021-06-19 10:02:26,5,品質很好，寄送速度很快，推薦
796979646042219340,暮***歌,2021-06-19 09:56:02,5,反正提前买了618也没有讲价非常得好，讨厌618突然降价的商品申请保价还好，麻烦这一个手环主要是用来测部署和心率。
